Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE65000,"Human-specific gene ARHGAP11B promotes basal progenitor amplification and neocortex expansion","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",36,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65000/suppl",25721503,SRP052294,"Mareike Albert","Mar 02, 2015"
GSE61052,"SRSF2 is essential for hematopoiesis and its myelodysplastic syndromes-related mutations dysregulate alternative pre-mRNA splicing","Expression profiling by high throughput sequencing","Homo sapiens",23,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61052/suppl",26124281,SRP046267,"Xiang-Dong Fu","Mar 01, 2015"
GSE61141,"Phenotypic responses of differentiated asthmatic human airway epithelial cultures to rhinovirus","Expression profiling by high throughput sequencing","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61141/suppl",25706956,SRP046226,"Yongsheng Huang","Mar 01, 2015"
GSE63555,"miR-191 regulates human cell proliferation and directly targets multiple oncogenes [seq]","Expression profiling by high throughput sequencing;Other","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63555/suppl",25992613,SRP050138,"Vishy Iyer","Mar 01, 2015"
GSE63556,"Genome wide miR-191 target profile determined by RIP and gene expression profiling","Expression profiling by high throughput sequencing;Other;Expression profiling by array","Homo sapiens",20,,,,25992613,,"Vishy Iyer","Mar 01, 2015"
GSE65354,"Cytosolic Hsp60 orchestrates the survival and inflammatory responses of vascular smooth muscle cells in injured aortic vessels by regulating NF-κB-dependent gene expression","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65354/suppl",25870185,SRP052879,"Charny Park","Mar 01, 2015"
GSE66053,"Single mammalian cells compensate for differences in cellular volume and DNA copy number through independent global transcriptional mechanisms","Expression profiling by high throughput sequencing","Homo sapiens",98,,"TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66053/suppl",25866248,SRP055153,"Arjun Raj","Mar 01, 2015"
GSE59290,"MiRNA23B REGULATES SELF-RENEWAL AND CHEMORESISTANCE PROPERTIES OF COLON CANCER STEM CELLS","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59290/suppl",,SRP044229,"Bruce Boman","Feb 28, 2015"
GSE56010,"Widespread N6-methyladenosine-dependent RNA Structural Switches Regulate RNA-Protein Interactions","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing;Other","Homo sapiens",18,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56010/suppl",25719671,SRP040278,"Tao Pan","Feb 27, 2015"
GSE64813,"Gene Networks Specific for Innate Immunity Define Post-traumatic Stress Disorder [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",188,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64813/suppl",25754082,SRP051848,"Caroline Nievergelt","Feb 27, 2015"
GSE64814,"Gene Networks Specific for Innate Immunity Define Post-traumatic Stress Disorder","Expression profiling by array;Expression profiling by high throughput sequencing","Homo sapiens",284,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64814/suppl",25754082,,"Caroline Nievergelt","Feb 27, 2015"
GSE65778,"The Small Molecule ISRIB Reverses the Effects of eIF2α Phosphorylation on Translation and Stress Granule Assembly","Expression profiling by high throughput sequencing","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65778/suppl",25719440,SRP053402,"Anna M McGeachy","Feb 27, 2015"
GSE54505,"TWIST1-induced microRNA-424 drives an intermediate epithelial-to-mesenchymal transition that opposes metastasis","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54505/suppl",25716682,SRP036035,"Jihye Kim","Feb 26, 2015"
GSE63733,"RNA-seq data from six cell types for cell type phylogenetics","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63733/suppl",25732829,SRP050374,"Koryu Kin","Feb 26, 2015"
GSE66301,"Gene expression profiling of patient's DCIS-IDC tandem lesions by RNA sequencing analysis","Expression profiling by high throughput sequencing","Homo sapiens",12,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66301/suppl",,SRP055512,"Hanan Elsarraj","Feb 26, 2015"
GSE66249,"Exposure to 60 minutes of hyperoxia upregulates myocardial humanins in patients with coronary artery disease","Expression profiling by high throughput sequencing","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66249/suppl",,SRP055466,"Sulev Koks","Feb 25, 2015"
GSE66217,"Single Cell Analysis Reveals Unexpected Transcriptional Heterogeneity of Neural Progenitors in the Developing Human Cortex","Expression profiling by high throughput sequencing","Homo sapiens",9,,"FPKM_TRACKING","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66217/suppl",25734491,SRP055440,"Matthew Bonser Johnson","Feb 24, 2015"
GSE66117,"Transcriptome analysis in chronic lymphocytic leukemia cells using RNA sequencing (RNA-seq)","Expression profiling by high throughput sequencing","Homo sapiens",52,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66117/suppl",27461342,SRP055390,"Huidong Shi","Feb 21, 2015"
GSE55275,"Activin A and BMP4 Modulation of Wnt/β-catenin Signaling Directs Fate Specification of Mesoderm Derivatives from Human Embryonic Stem Cells","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55275/suppl",,SRP038767,"Chuck Murry","Feb 20, 2015"
GSE57148,"Characterizing gene expression in lung tissue of COPD subjects using RNA-seq","Expression profiling by high throughput sequencing","Homo sapiens",189,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57148/suppl",25834810,SRP041538,"JaeHyun Lim","Feb 20, 2015"
GSE57397,"Transriptional profiling upon heat shock and recovery in cells deficient for FBXW7 and their wild type counterpart.","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57397/suppl",25720964,SRP041753,"Nikos Kourtis","Feb 20, 2015"
GSE66167,"Transcriptome analysis and Genome-wide DNA methylation maps in chronic lymphocytic leukemia cells determined by next-generation sequencing","Expression profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",111,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66167/suppl",27461342,,"Huidong Shi","Feb 20, 2015"
GSE66031,"Identification of active transcriptional regulatory elements with GRO-seq","Expression profiling by high throughput sequencing;Third-party reanalysis","Homo sapiens",2,,"BED;BIGWIG;BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66031/suppl",25799441,SRP055129,"Charles G Danko","Feb 19, 2015"
GSE60482,"Stretch-Enhancers Delineate Disease-Associated Regulatory Nodes in T Cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",21,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60482/suppl",25686607,SRP045570,"Golnaz Vahedi","Feb 18, 2015"
GSE63122,"Integrin αvβ3 acting as membrane receptor for thyroid hormones mediates angiogenesis in malignant T cells","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63122/suppl",25488971,SRP049648,"Tharu M Fernando","Feb 18, 2015"
GSE64712,"Functional characterization of human T cell hyporesponsiveness induced by CTLA4-Ig","Expression profiling by high throughput sequencing","Homo sapiens",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64712/suppl",25860138,SRP051737,"Artem Barski","Feb 17, 2015"
GSE57399,"FBXW7 modulates stress response by post-translational modification of HSF1","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57399/suppl",25720964,,"Nikos Kourtis","Feb 16, 2015"
GSE65949,"Transcriptome analysis of human OXR1 depleted cells reveals its role in regulating the p53 signaling pathway","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65949/suppl",26616534,SRP055048,"Mingyi Yang","Feb 16, 2015"
GSE64752,"Long-term expandable SOX9+ chondrogenic ectomesenchymal cells from human pluripotent stem cells","Expression profiling by high throughput sequencing","Homo sapiens",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64752/suppl",25818812,SRP051772,"Naoki Nakayama","Feb 15, 2015"
GSE65912,"Integrative analysis of RNA, translation and protein levels reveals distinct regulatory variation across humans","Expression profiling by high throughput sequencing;Other","Homo sapiens",68,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65912/suppl",26297486,SRP055009,"Can Cenik","Feb 14, 2015"
GSE62590,"DNA demethylation by 5-aza-2'-deoxycytidine is imprinted targeted to euchromatin and has limited transcriptional consequences","Expression profiling by high throughput sequencing;Methylation profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",13,,"TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62590/suppl",25806086,,"Maria-Paz Ramos","Feb 13, 2015"
GSE62591,"HEK 293T cells RNA-seq data treated with 5-aza-2-deoxycytidine","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",5,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62591/suppl",,SRP049156,"Maria-Paz Ramos","Feb 13, 2015"
GSE55008,"Transcriptome profiling of omental adipose tissues in human obesity by RNA-Seq","Expression profiling by high throughput sequencing","Homo sapiens",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55008/suppl",,SRP037778,"Ng Hien Fuh","Feb 11, 2015"
GSE35704,"Whole Transcriptome RNA-seq Analysis: the Tumorigenesis and Metastasis of Melanoma","Expression profiling by high throughput sequencing","Homo sapiens",3,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35704/suppl",25034661,SRP010874,"Shaobin Wang","Feb 10, 2015"
GSE64078,"ALS-causative mutations in FUS/TLS confer gain- and loss-of-function by altered association with SMN and U1-snRNP","Expression profiling by high throughput sequencing","Homo sapiens",49,,"BED","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64078/suppl",25625564,SRP051107,"Xiang-Dong Fu","Feb 10, 2015"
GSE63487,"Discovery of cis-spliced chimeric RNAs between adjacent genes in human prostate cells","Expression profiling by high throughput sequencing","Homo sapiens",6,,"FPKM_TRACKING;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63487/suppl",25658338,SRP050061,"Fujun Qin","Feb 09, 2015"
GSE64927,"Effects of physiological and synthetic IAP antagonism on c-IAP dependent signaling","Expression profiling by high throughput sequencing;Other","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64927/suppl",25659587,SRP052062,"Mats Ljungman","Feb 09, 2015"
GSE65761,"Correction of human phospholamban R14del mutation associated with cardiomyopathy using targeted nucleases and combination therapy [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65761/suppl",25923014,SRP053366,"FRANCESCA STILLITANO","Feb 09, 2015"
GSE65763,"Correction of human phospholamban R14del mutation associated with cardiomyopathy using targeted nucleases and combination therapy","Expression profiling by high throughput sequencing;Genome variation profiling by high throughput sequencing","Homo sapiens",6,,,,,,"FRANCESCA STILLITANO","Feb 09, 2015"
GSE54760,"Orphan nuclear receptor TR4 uses non-equivalent binding sites to regulate gene targets from proximal and distal transcriptional regulatory elements during human definitive erythropoiesis [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54760/suppl",,SRP036843,"Lihong Shi","Feb 04, 2015"
GSE54761,"Orphan nuclear receptor TR4 uses non-equivalent binding sites to regulate gene targets from proximal and distal transcriptional regulatory elements during human definitive erythropoiesis","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",9,,,,,,"Lihong Shi","Feb 04, 2015"
GSE60462,"iRNA-seq: Computational method for genome wide assessment of acute transcriptional regulation from total RNA-seq data","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60462/suppl",25564527;26113076,SRP045545,"Susanne Mandrup","Feb 04, 2015"
GSE64615,"hsa-miR-503, hsa-miR-103, and hsa-miR-494 genome wide target profiles [RNA-Seq and RIP-Seq]","Expression profiling by high throughput sequencing;Other","Homo sapiens",30,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64615/suppl",25653011,SRP051644,"Vishy Iyer","Feb 04, 2015"
GSE64616,"Genome-wide hsa-miR-503, hsa-miR-103, and hsa-miR-494 target profiles","Expression profiling by array;Expression profiling by high throughput sequencing;Other","Homo sapiens",40,,,,25653011,,"Vishy Iyer","Feb 04, 2015"
GSE47537,"Gata6","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",10,,"TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47537/suppl",25596178,,"Enrique Carrillo de Santa Pau","Feb 03, 2015"
GSE65420,"Genetic and drug perturbation of components in the NFkB signaling pathway in 11-18 cells","Expression profiling by high throughput sequencing","Homo sapiens",29,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65420/suppl",,SRP052950,"Saurabh Asthana","Feb 03, 2015"
GSE65507,"Pluripotent cell models of Fanconi anemia identify the early pathological defect in human hemoangiogenic progenitors","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65507/suppl",,SRP053042,"Megumu Saito","Feb 03, 2015"
GSE65508,"Modeling the early phenotype at the neuromuscular junction of spinal muscular atrophy using patient-derived iPSCs (RNA-Seq)","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65508/suppl",25801509,SRP053043,"Megumu Saito","Feb 03, 2015"
GSE51799,"Huntington’s disease biomarker progression profile identified by transcriptome sequencing in peripheral blood","Expression profiling by high throughput sequencing","Homo sapiens",124,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51799/suppl",25626709,SRP032279,"Anastasios Mastrokolias","Feb 02, 2015"
GSE60340,"Pathway Profiling of Replicative and Induced Senescence","Expression profiling by high throughput sequencing","Homo sapiens",24,,"GTF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60340/suppl",25483067,SRP045441,"Maggie Purcell","Feb 01, 2015"
GSE64413,"HITS-CLIP analysis uncovers a link between the Kaposi's sarcoma associated herpesvirus ORF57 protein and host pre-mRNA metabolism","Expression profiling by high throughput sequencing","Homo sapiens",6,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64413/suppl",25710169,SRP051468,"Yang Xie","Feb 01, 2015"
GSE64443,"Exon-Intron circular RNAs regulate transcription in the nucleus","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing;Other","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64443/suppl",25664725,SRP051480,"Ge Shan","Feb 01, 2015"
GSE65335,"Genome-wide expression profiling of an in vitro model for studying esophageal epithelial differentiation","Expression profiling by high throughput sequencing","Homo sapiens",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65335/suppl",26039063,SRP052856,"Kevin Mills","Feb 01, 2015"
GSE58202,"Proteasome Function is Required for Platelet Production","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58202/suppl",,SRP062023,"Jesse Worth Rowley","Jan 31, 2015"
GSE65446,"Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and cardiac-specific Bmi1 deletion [human]","Expression profiling by high throughput sequencing","Homo sapiens",10,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65446/suppl",25751743,SRP052978,"Manuel J Gomez","Jan 30, 2015"
GSE65447,"Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and cardiac-specific Bmi1 deletion","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",16,,,,25751743,,"Manuel J Gomez","Jan 30, 2015"
GSE65469,"RNA-seq and Microarray in Transcriptome Profiling of Anterior Cruciate Ligament Tears: Implications for Prognostic Biomarkers Discovery","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65469/suppl",,SRP052991,"Muhammad Farooq Rai","Jan 30, 2015"
GSE55195,"Ribosome profiling data obtained from HEK293T cells 30 minutes after treatment with arsenite to a final concentration of 40 µM","Expression profiling by high throughput sequencing;Other","Homo sapiens",8,,"CSV;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55195/suppl",25621764,SRP038695,"Pavel V Baranov","Jan 27, 2015"
GSE62944,"Alternatively processed  and compiled RNA-Sequencing and clinical data for thousands of samples from The Cancer Genome Atlas","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62944/suppl",26209429,,"Mumtahena Rahman","Jan 27, 2015"
GSE62966,"Analysis of allele specific expression and its chromatin state to identify genes that are escaping X chromosome inactivation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",29,,"BEDGRAPH;FPKM_TRACKING;TXT;XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62966/suppl",25653311,SRP049507,"Ronan Chaligné","Jan 22, 2015"
GSE63202,"Ligand-Dependent Enhancer Activation Regulated by Topoisomerase-I Activity","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",26,,"BED;BEDGRAPH","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63202/suppl",25619691,SRP049720,"Michael G Rosenfeld","Jan 22, 2015"
GSE63420,"Massive parallel sequencing uncovers actionable FGFR2-PPHLN1 fusion and ARAF mutations in intrahepatic cholangiocarcinoma","Genome variation profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",30,,,,25608663,SRP050003,"Josep Maria Llovet","Jan 22, 2015"
GSE63953,"High throughput sequencing identifies alternative splicing events regulated by PRMT9","Expression profiling by high throughput sequencing","Homo sapiens",4,,"BEDGRAPH","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63953/suppl",25737013,SRP050943,"Zheng Xia","Jan 22, 2015"
GSE57369,"The chromatin modifier CHD8 targets autism risk genes during human neurodevelopment ","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",26,,"BAM;BED;BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57369/suppl",25752243,SRP041738,"Justin Cotney","Jan 21, 2015"
GSE60590,"Dynamics of the human skeletal muscle transcriptome in response to exercise training - part 1","Expression profiling by high throughput sequencing","Homo sapiens",33,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60590/suppl",25484259,SRP045666,"Joakim Lundeberg","Jan 21, 2015"
GSE59846,"Defining CD4 T Cell Memory by the Epigenetic Landscape of CpG DNA Methylation [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59846/suppl",25576597,SRP045052,"Daniel Salomon","Jan 20, 2015"
GSE59860,"Defining CD4 T Cell Memory by the Epigenetic Landscape of CpG DNA Methylation","Expression profiling by array;Expression profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",58,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59860/suppl",25576597,,"Daniel Salomon","Jan 20, 2015"
GSE62907,"The inactive X chromosome is epigenetically unstable and transcriptionally labile in breast cancer","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other;Genome variation profiling by SNP array;SNP genotyping by SNP array","Homo sapiens",39,,"BEDGRAPH;CEL;FPKM_TRACKING;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62907/suppl",25653311,,"Ronan Chaligné","Jan 19, 2015"
GSE63452,"Knock-in of PIK3CA-H1047R into MCF-10A","Expression profiling by high throughput sequencing","Homo sapiens",25,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63452/suppl",25583473,SRP050036,"Jonathan Ross Hart","Jan 19, 2015"
GSE54136,"Transcriptome profiling of untreated and doxycycline-treated HeLa/TO-SmN","Expression profiling by high throughput sequencing","Homo sapiens",2,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54136/suppl",,SRP035464,"Chin Li","Jan 16, 2015"
GSE62974,"RNA sequencing (RNA-SEQ) of EPAS1 knockdown by siRNA in endothelial cells","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62974/suppl",25569234,SRP049514,"Jun Zhu","Jan 16, 2015"
GSE62074,"Mutation independent activation of the Notch pathway is associated with Lapatinib resistance in Her2+ breast cancer cell lines","Expression profiling by high throughput sequencing","Homo sapiens",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62074/suppl",,SRP048664,"Mia Grifford","Jan 15, 2015"
GSE62241,"Enhancer Sequence Variants and Transcription Factor Deregulation Synergize to Construct Pathogenic Regulatory Circuits in B Cell Lymphoma (RNA-Seq)","Expression profiling by high throughput sequencing","Homo sapiens",14,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62241/suppl",25607463;27183590,SRP048820,"Jacqueline Payton","Jan 15, 2015"
GSE62246,"Enhancer Sequence Variants and Transcription Factor Deregulation Synergize to Construct Pathogenic Regulatory Circuits in B Cell Lymphoma","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",137,,"BW;CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62246/suppl",25607463;27183590,,"Jacqueline Payton","Jan 15, 2015"
GSE63816,"Aberrant splicing of U12-type introns is the hallmark of ZRSR2 mutant myelodysplastic syndrome","Expression profiling by high throughput sequencing","Homo sapiens",22,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63816/suppl",25586593,SRP050493,"Henry Yang","Jan 15, 2015"
GSE64795,"Type I interferon regulates the expression of long non-coding RNAs [RNA-seq]","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64795/suppl",25414701,SRP051822,"Victor Segura","Jan 09, 2015"
GSE64796,"Type I interferon regulates the expression of long non-coding RNAs","Expression profiling by array;Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64796/suppl",25414701,,"Victor Segura","Jan 09, 2015"
GSE56087,"Next Generation Sequencing identifying the dosage compensation state in human endometrial carcinoma and adjacent tissues","Expression profiling by high throughput sequencing","Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56087/suppl",25239642,SRP040442,"Yifeng Zhou","Jan 07, 2015"
GSE57049,"Localization and Abundance Analysis of Human lncRNAs at Single Cell and Single Molecule Resolution","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing;Third-party reanalysis","Homo sapiens",7,,"FPKM_TRACKING;GTF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57049/suppl",25630241,SRP041508,"Nataly Moran Cabili","Jan 07, 2015"
GSE59781,"Open chromatin mapping identifies transcriptional networks regulating human epididymis epithelial function [Rnase-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",8,,"DIFF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59781/suppl",25180270,SRP044867,"Ann Harris","Jan 07, 2015"
GSE59783,"Open chromatin mapping identifies transcriptional networks regulating human epididymis epithelial function","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by array","Homo sapiens",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59783/suppl",25180270,,"Ann Harris","Jan 07, 2015"
GSE63776,"Altering cancer transcriptomes using epigenomic inhibitors [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63776/suppl",,SRP050497,"Seth Frietze","Jan 07, 2015"
GSE64039,"Altering cancer transcriptomes using epigenomic inhibitors","Expression profiling by array;Expression profiling by high throughput sequencing","Homo sapiens",18,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64039/suppl",,,"Seth Frietze","Jan 07, 2015"
GSE60424,"Next generation sequencing of human immune cell subsets across diseases","Expression profiling by high throughput sequencing","Homo sapiens",134,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60424/suppl",25314013,SRP045500,"Scott Presnell","Jan 06, 2015"
GSE64655,"A Cell-based Systems Biology Assessment of Human Blood to Monitor Immune Responses After Influenza Vaccination","Expression profiling by high throughput sequencing","Homo sapiens",56,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64655/suppl",25706537,SRP051688,"Andrew J Link","Jan 06, 2015"
GSE64677,"Hepatitis C virus functionally sequesters miR-122 [RNA-Seq]","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64677/suppl",25768906,SRP051705,"Joseph M Luna","Jan 06, 2015"
